User_ID,Name,Join_Date,Salary,Department
101,Alice,2023-01-01,75000,IT
102,Bob,01-05-2023,82000,Sales
103,Charlie,2023-03-15,,Marketing
101,Alice,2023-01-01,75000,IT
104,David,2023-04-20,9999999,HR
105,Eve,May 12 2023,65000,IT
106,Frank,2023-06-01,70000,101
,Grace,2023-07-10,60000,Sales
108,Heidi,2023-08-15,85000,IT
109,Ivan,2023-09-01,72000,Sales
110,Judy,2023-10-10,,Marketing
111,Ken,2023-11-05,95000,Finance
112,Linda,2023-12-01,68000,IT
113,Mick,2024-01-10,74000,Sales
104,David,2023-04-20,9999999,HR
115,Nina,2024-02-15,81000,Marketing
116,Oscar,2024-03-01,89000,Finance
117,Peggy,2024-03-15,,IT
118,Quinn,2024-04-01,67000,Sales
119,Riley,2024-04-20,73000,Marketing
120,Steve,2024-05-01,92000,Finance
121,Trent,2024-05-15,70000,IT
122,Ursula,2024-06-01,,Sales
123,Victor,2024-06-15,78000,Marketing
124,Wendy,2024-07-01,85000,Finance
125,Xander,2024-07-15,69000,IT
126,Yolanda,2024-08-01,74000,Sales
127,Zack,2024-08-15,81000,Marketing
128,Alice,2023-01-01,75000,IT
129,Bob,2023-05-01,82000,Sales
130,Charlie,2023-03-15,,Marketing
131,David,2024-04-20,88000,HR
132,Eve,2023-05-12,65000,IT
133,Frank,2023-06-01,70000,Engineering
134,Grace,2023-07-10,60000,Sales
135,Heidi,2023-08-15,85000,IT
136,Ivan,2023-09-01,72000,Sales
137,Judy,2023-10-10,,Marketing
138,Ken,2023-11-05,95000,Finance
139,Linda,2023-12-01,68000,IT
140,Mick,2024-01-10,74000,Sales
141,Nina,2024-02-15,81000,Marketing
142,Oscar,2024-03-01,89000,Finance
143,Peggy,2024-03-15,,IT
144,Quinn,2024-04-01,67000,Sales
145,Riley,2024-04-20,73000,Marketing
146,Steve,2024-05-01,92000,Finance
147,Trent,2024-05-15,70000,IT
148,Ursula,2024-06-01,,Sales
149,Victor,2024-06-15,78000,Marketing
150,Wendy,2024-07-01,85000,Finance
151,Xander,2024-07-15,69000,IT
152,Yolanda,2024-08-01,74000,Sales
153,Zack,2024-08-15,81000,Marketing
101,Alice,2023-01-01,75000,IT
155,Aaron,2023-01-01,75000,IT
156,Bella,01-05-2023,82000,Sales
157,Casper,2023-03-15,,Marketing
158,Dora,2023-04-20,91000,HR
159,Elias,May 12 2023,65000,IT
160,Fiona,2023-06-01,70000,Engineering
161,Gabe,2023-07-10,60000,Sales
162,Hank,2023-08-15,85000,IT
163,Iris,2023-09-01,72000,Sales
164,Jake,2023-10-10,,Marketing
165,Kira,2023-11-05,95000,Finance
166,Liam,2023-12-01,68000,IT
167,Mia,2024-01-10,74000,Sales
168,Nate,2024-02-15,81000,Marketing
169,Olive,2024-03-01,89000,Finance
170,Parker,2024-03-15,,IT
171,Rose,2024-04-01,67000,Sales
172,Seth,2024-04-20,73000,Marketing
173,Tara,2024-05-01,92000,Finance
174,Umar,2024-05-15,70000,IT
175,Vera,2024-06-01,,Sales
176,Will,2024-06-15,78000,Marketing
177,Xena,2024-07-01,85000,Finance
178,Yuri,2024-07-15,69000,IT
179,Zoe,2024-08-01,74000,Sales
180,Adam,2024-08-15,81000,Marketing
181,Beth,2023-01-01,75000,IT
182,Cody,2023-05-01,82000,Sales
183,Dana,2023-03-15,,Marketing
184,Eli,2024-04-20,88000,HR
185,Faye,2023-05-12,65000,IT
186,Glen,2023-06-01,70000,Engineering
187,Hope,2023-07-10,60000,Sales
188,Ian,2023-08-15,85000,IT
189,Jill,2023-09-01,72000,Sales
190,Karl,2023-10-10,,Marketing
191,Lana,2023-11-05,95000,Finance
192,Milo,2023-12-01,68000,IT
193,Noel,2024-01-10,74000,Sales
194,Opal,2024-02-15,81000,Marketing
195,Paul,2024-03-01,89000,Finance
196,Reed,2024-03-15,,IT
197,Skye,2024-04-01,67000,Sales
198,Tess,2024-04-20,73000,Marketing
199,Vince,2024-05-01,92000,Finance
200,Walt,2024-05-15,70000,IT
101,Alice,2023-01-01,75000,IT
104,David,2023-04-20,9999999,HR
110,Judy,2023-10-10,,Marketing
117,Peggy,2024-03-15,,IT
